sku,msku,panels,Status,Status.1,image
ST-cooky,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE FK,Active,Active Listing,#REF!
ST-BTS-Cooky,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE FK,Active,Active Listing,#REF!
FK- BUNNY PINK SOFT TOY FOR KIDS BUNNY FACED,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE FK,Active,Active Listing,#REF!
Cooky Map,CSTE_0007_ST_Bts_Pillow_Cooky,GL FK,Active,Active Listing,#REF!
89OWDN4N,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE MEESHO,Active,,#REF!
BTS_COOKY,CSTE_0007_ST_Bts_Pillow_Cooky,Rudrav Meesho,In Progress,,
bts_cooky_1,CSTE_0007_ST_Bts_Pillow_Cooky,Rudrav Meesho,In Progress,,
"Cooky Plush Pillow, Animal Stuffed Toys Throw Pillow,Compatible for BTS",CSTE_0007_ST_Bts_Pillow_Cooky,CSTE MEESHO,In Progress,,
CSTE_0007_ST_Bts_Pillow_Cooky,CSTE_0007_ST_Bts_Pillow_Cooky,Rudrav Meesho,In Progress,,
ST-BTS-cooky-koya-rj-van-FBA,CSTE_0008_ST_Bts_Pillow_Rj,CSTE AMAZON,Inactive,Deleted,
KW-H97N-GZCK,CSTE_0008_ST_Bts_Pillow_Rj,CSTE AMAZON,Active,Active Listing,#REF!
ST-Rj- bts-white-FBA,CSTE_0008_ST_Bts_Pillow_Rj,CSTE AMAZON,Active,Active Listing,#REF!
ST-Rj- bts-white,CSTE_0008_ST_Bts_Pillow_Rj,CSTE AMAZON,Active,Active Listing,#REF!
BTS_RJ,CSTE_0008_ST_Bts_Pillow_Rj,GL FK,Active,Active Listing,#REF!
FBA_pillow_white_dog,CSTE_0008_ST_Bts_Pillow_Rj,CSTE FK,Active,Active Listing,#REF!
rj_pillow_1,CSTE_0008_ST_Bts_Pillow_Rj,GL FK,Active,Active Listing,#REF!
32845472,CSTE_0008_ST_Bts_Pillow_Rj,Rudrav Meesho,In Progress,,
BTS_RJ,CSTE_0008_ST_Bts_Pillow_Rj,Rudrav Meesho,In Progress,,
bts_rj_1,CSTE_0008_ST_Bts_Pillow_Rj,Rudrav Meesho,In Progress,,
BigPillow_Combo_fba,CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE AMAZON,Inactive,Deleted,
BigPillow_Chimmy_fba,CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE AMAZON,Active,Active Listing,#REF!
chimmy_long,CSTE_0009_ST_Bts_LongPillow_Chimmy,GL FK,Active,Active Listing,#REF!
BigPillow_Chimmy,CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE FK,Active,Active Listing,#REF!
CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE MEESHO,In Progress,,
NfGa1-B0,CSTE_0009_ST_Bts_LongPillow_Chimmy,CSTE MEESHO,In Progress,,
BV-WMKJ-4SO7,CSTE_0010_ST_Bts_LongPillow_Tata,CSTE AMAZON,Inactive,Deleted,
BigPIllow_Tata_fba,CSTE_0010_ST_Bts_LongPillow_Tata,CSTE AMAZON,Inactive,Deleted,
Tata_LongPillow,CSTE_0010_ST_Bts_LongPillow_Tata,CSTE AMAZON,Inactive,Deleted,
BTS TATA_LONG,CSTE_0010_ST_Bts_LongPillow_Tata,CSTE FK,Active,Active Listing,#REF!
BigPillow_Tata_Fba,CSTE_0010_ST_Bts_LongPillow_Tata,Rudrav Meesho,In Progress,,
kN3ypXYO,CSTE_0010_ST_Bts_LongPillow_Tata,CSTE MEESHO,In Progress,,
BigPillow_Koya_fba,CSTE_0011_ST_Bts_LongPillow_Koya,CSTE AMAZON,Inactive,Deleted,
SE-4AD9-E865,CSTE_0011_ST_Bts_LongPillow_Koya,CSTE AMAZON,Inactive,Deleted,
koya_long,CSTE_0011_ST_Bts_LongPillow_Koya,GL FK,Active,Active Listing,#REF!
BigPillow_Chimmy_fba,CSTE_0011_ST_Bts_LongPillow_Koya,Rudrav Meesho,In Progress,,
BigPillow_Koya_Fba,CSTE_0011_ST_Bts_LongPillow_Koya,Rudrav Meesho,In Progress,,
bts_koya_1,CSTE_0011_ST_Bts_LongPillow_Koya,Rudrav Meesho,In Progress,,
KoyaLongPillow-Blue,CSTE_0011_ST_Bts_LongPillow_Koya,CSTE MEESHO,In Progress,,
BigPillow_Cooky_fba,CSTE_0012_ST_Bts_LongPillow_Cooky,CSTE AMAZON,Active,Active Listing,#REF!
