[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
[SUCCESS]  Airtable connection validated successfully
INFO 2025-06-23 02:14:09,726 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1F-XCQU-9DC0 to Airtable
INFO 2025-06-23 02:14:09,738 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1F-XCQU-9DC0 from Airtable
INFO 2025-06-23 02:14:12,198 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 2 to Airtable
INFO 2025-06-23 02:14:12,228 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 2 from Airtable
INFO 2025-06-23 02:14:14,644 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 23541268 to Airtable
INFO 2025-06-23 02:14:14,656 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 23541268 from Airtable
INFO 2025-06-23 02:14:16,911 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21549564 to Airtable
INFO 2025-06-23 02:14:16,943 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21549564 from Airtable
INFO 2025-06-23 02:14:19,383 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21305787 to Airtable
INFO 2025-06-23 02:14:19,413 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21305787 from Airtable
INFO 2025-06-23 02:14:21,736 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21305792 to Airtable
INFO 2025-06-23 02:14:21,747 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21305792 from Airtable
INFO 2025-06-23 02:14:24,070 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 12547896 to Airtable
INFO 2025-06-23 02:14:24,097 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 12547896 from Airtable
INFO 2025-06-23 02:14:26,528 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 24_colour_pencil to Airtable
INFO 2025-06-23 02:14:26,559 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 24_colour_pencil from Airtable
INFO 2025-06-23 02:14:29,001 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 201425270_13 to Airtable
INFO 2025-06-23 02:14:29,033 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 201425270_13 from Airtable
INFO 2025-06-23 02:14:31,608 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 21457455 to Airtable
INFO 2025-06-23 02:14:31,617 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 21457455 from Airtable
INFO 2025-06-23 02:14:34,109 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 25-J008-EY79 to Airtable
INFO 2025-06-23 02:14:34,137 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 25-J008-EY79 from Airtable
INFO 2025-06-23 02:14:36,494 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 174643083_6 to Airtable
INFO 2025-06-23 02:14:36,523 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 174643083_6 from Airtable
INFO 2025-06-23 02:14:38,707 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 2034722522_19 to Airtable
INFO 2025-06-23 02:14:38,738 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 2034722522_19 from Airtable
INFO 2025-06-23 02:14:41,291 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 20546001 to Airtable
INFO 2025-06-23 02:14:41,319 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 20546001 from Airtable
INFO 2025-06-23 02:14:43,755 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 125243532_26 to Airtable
INFO 2025-06-23 02:14:43,783 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 125243532_26 from Airtable
INFO 2025-06-23 02:14:46,301 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1617749754_17 to Airtable
INFO 2025-06-23 02:14:46,312 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1617749754_17 from Airtable
INFO 2025-06-23 02:14:48,790 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping "fk-BTS BT21 Kpop Merch Plush Large 14"" Cushion Dust Cover" to Airtable
INFO 2025-06-23 02:14:48,800 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping "fk-BTS BT21 Kpop Merch Plush Large 14"" Cushion Dust Cover" from Airtable
INFO 2025-06-23 02:14:51,181 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 17note_deer_kalimba to Airtable
INFO 2025-06-23 02:14:51,192 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 17note_deer_kalimba from Airtable
INFO 2025-06-23 02:14:53,691 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 16 to Airtable
INFO 2025-06-23 02:14:53,700 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 16 from Airtable
INFO 2025-06-23 02:14:56,141 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 2030088958_23 to Airtable
INFO 2025-06-23 02:14:56,155 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 2030088958_23 from Airtable
INFO 2025-06-23 02:14:58,591 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1805661512_6 to Airtable
INFO 2025-06-23 02:14:58,622 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1805661512_6 from Airtable
INFO 2025-06-23 02:15:00,780 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 24544163 to Airtable
INFO 2025-06-23 02:15:00,810 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 24544163 from Airtable
INFO 2025-06-23 02:15:03,108 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 23945876 to Airtable
INFO 2025-06-23 02:15:03,118 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 23945876 from Airtable
INFO 2025-06-23 02:15:05,310 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 17*17_PillowCover_Maroon_fba to Airtable
INFO 2025-06-23 02:15:05,339 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 17*17_PillowCover_Maroon_fba from Airtable
INFO 2025-06-23 02:15:07,270 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 25411486 to Airtable
INFO 2025-06-23 02:15:07,279 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 25411486 from Airtable
INFO 2025-06-23 02:15:09,602 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1779161966_14 to Airtable
INFO 2025-06-23 02:15:09,614 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1779161966_14 from Airtable
INFO 2025-06-23 02:15:12,201 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1951027540_9 to Airtable
INFO 2025-06-23 02:15:12,230 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1951027540_9 from Airtable
INFO 2025-06-23 02:15:14,634 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 23015410 to Airtable
INFO 2025-06-23 02:15:14,659 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 23015410 from Airtable
INFO 2025-06-23 02:15:17,179 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 23425330 to Airtable
INFO 2025-06-23 02:15:17,188 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 23425330 from Airtable
INFO 2025-06-23 02:15:19,757 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 11-V74N-5538 to Airtable
INFO 2025-06-23 02:15:19,783 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 11-V74N-5538 from Airtable
INFO 2025-06-23 02:15:22,164 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1579824623_21 to Airtable
INFO 2025-06-23 02:15:22,174 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1579824623_21 from Airtable
INFO 2025-06-23 02:15:24,713 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1545319696_15 to Airtable
INFO 2025-06-23 02:15:24,745 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1545319696_15 from Airtable
INFO 2025-06-23 02:15:27,214 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1321941710_6 to Airtable
INFO 2025-06-23 02:15:27,244 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1321941710_6 from Airtable
INFO 2025-06-23 02:15:29,629 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 240862341_12 to Airtable
INFO 2025-06-23 02:15:29,641 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 240862341_12 from Airtable
INFO 2025-06-23 02:15:32,231 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 17notes_Kalimba _map_blue to Airtable
INFO 2025-06-23 02:15:32,260 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 17notes_Kalimba _map_blue from Airtable
INFO 2025-06-23 02:15:34,998 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1644333045_5 to Airtable
INFO 2025-06-23 02:15:35,011 airtable_sync 7944 15256 [SUCCESS] Updated SKU mapping 1644333045_5 from Airtable
INFO 2025-06-23 02:15:37,516 airtable_sync 7944 15256 [SUCCESS] Synced SKU mapping 1373215342_8 to Airtable
