Product Name,msku,Opening Stock,Buffer Stock,TLCQ,BLR7,BLR8,BOM5,BOM7,CCU1,CCX1,DEL4,DEL5,DEX3,PNQ2,PNQ3,SDED,SDEE,XHJ9,last_updated
Rain cards,CSTE_O0416_OT_Rain_Cards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Bunny lamp,CSTE_O0417_OT_Bunny_Lamp,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Chimmy,CSTE_O0418_OT_Standing_Doll_Chimmy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Tata,CSTE_O0419_OT_Standing_Doll_Tata,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts koya,CSTE_O0420_OT_Standing_Doll_Koya,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Mang,CSTE_O0421_OT_Standing_Doll_Mang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Shooky,CSTE_O0422_OT_Standing_Doll_Shooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Van,CSTE_O0423_OT_Standing_Doll_Van,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Cooky,CSTE_O0424_OT_Standing_Doll_Cooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Standing Doll Bts Rj,CSTE_O0425_OT_Standing_Doll_Rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Emoji Pillow,CSTE_O0426_OT_Emoji_Pillow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Chimmy Soft keychain,CSTE_O0427_OT_Soft_Keychain_Chimmy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tata Soft keychain,CSTE_O0428_OT_Soft_Keychain_Tata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Koya Soft keychain,CSTE_O0429_OT_Soft_Keychain_Koya,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Mang Soft keychain,CSTE_O0430_OT_Soft_Keychain_Mang,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Shooky Soft keychain,CSTE_O0431_OT_Soft_Keychain_Shooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Van Soft keychain,CSTE_O0432_OT_Soft_Keychain_Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cooky Soft keychain,CSTE_O0433_OT_Soft_Keychain_Cooky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Rj Soft keychain,CSTE_O0434_OT_Soft_Keychain_Rj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Small Teddy White,CSTE_O0435_OT_Teddy_Small_white,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Dinasour Soft toy,CSTE_O0436_OT_Dinasour_Soft_toy,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Duck Soft toy,CSTE_O0437_OT_Duck_Soft_toy,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Hellokitty Bag,CSTE_O0438_OT_Hellokitty_Bag,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Bunny Sling Bag,CSTE_O0439_OT_Bunny_Sling_Bag,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cushion Pink,CSTE_O0440_OT_Cushion_Pink,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
